
						THỐNG KÊ GIAO DỊCH												
						Ngày xuất:	8/12/2022 2:49 PM											




	STT	Ngày	Mã	"Tham
 chiếu"	"Mở 
cửa"	"Đóng
 cửa"	"Cao
nhất"	"Thấp
 nhất"	"Trung
 bình"	Thay đổi giá		GD khớp lệnh		GD thỏa thuận		Tổng giao dịch		"Vốn hóa
 thị trường"
										+/-	%	KL	GT	KL	GT	KL	GT	
	1	1/4/2022	VCB	78.8	79.0	79.0	79.4	78.0	78.9	200	0.25	1,133,800	89,414	0	0	1,133,800	89,414	293,001,318
	2	1/5/2022	VCB	79.0	79.0	78.0	80.4	78.0	79.0	-1,000	-1.27	1,603,100	126,447	89,000	7,005	1,692,100	133,452	289,292,441
	3	1/6/2022	VCB	78.0	78.6	79.1	79.9	77.9	78.9	1,100	1.41	1,215,600	95,889	0	0	1,215,600	95,889	293,372,206
	4	1/7/2022	VCB	79.1	79.6	79.8	79.9	78.2	79.1	700	0.88	966,200	76,420	0	0	966,200	76,420	377,654,822
	5	1/10/2022	VCB	79.8	79.7	79.5	79.9	78.5	79.1	-300	-0.38	1,097,000	86,819	59,000	4,569	1,156,000	91,388	376,235,067
	6	1/11/2022	VCB	79.5	80.0	79.4	80.0	78.5	79.3	-100	-0.13	952,700	75,520	129,000	10,202	1,081,700	85,722	375,761,816
	7	1/12/2022	VCB	79.4	79.4	80.0	80.0	78.0	79.2	600	0.76	1,801,500	142,811	500,000	39,653	2,301,500	182,464	378,601,326
	8	1/13/2022	VCB	80.0	80.5	81.9	84.4	80.2	81.9	1,900	2.38	2,532,800	207,287	39,000	3,147	2,571,800	210,434	387,593,107
	9	1/14/2022	VCB	81.9	81.9	83.4	83.4	81.0	82.7	1,500	1.83	1,522,100	125,980	30,000	2,307	1,552,100	128,287	394,691,882
	10	1/17/2022	VCB	83.4	83.0	86.2	88.0	82.3	85.6	2,800	3.36	2,628,500	225,104	20,030	1,697	2,648,530	226,801	407,942,928
