
						THỐNG KÊ GIAO DỊCH												
						Ngày xuất:	8/12/2022 2:48 PM											




	STT	Ngày	Mã	"Tham
 chiếu"	"Mở 
cửa"	"Đóng
 cửa"	"Cao
nhất"	"Thấp
 nhất"	"Trung
 bình"	Thay đổi giá		GD khớp lệnh		GD thỏa thuận		Tổng giao dịch		"Vốn hóa
 thị trường"
										+/-	%	KL	GT	KL	GT	KL	GT	
	1	1/4/2022	HPG	46.4	46.8	46.8	47.2	46.6	46.8	350	0.75	20,100,700	941,159	0	0	20,100,700	941,159	209,109,137
	2	1/5/2022	HPG	46.8	46.9	46.8	47.4	46.8	47.1	50	0.11	18,760,700	883,736	785,700	35,918	19,546,400	919,654	209,332,783
	3	1/6/2022	HPG	46.8	46.5	46.1	46.7	46.1	46.4	-700	-1.50	17,172,700	796,845	413,600	18,012	17,586,300	814,857	206,201,737
	4	1/7/2022	HPG	46.1	46.1	45.8	46.2	45.7	45.9	-300	-0.65	16,335,300	749,352	0	0	16,335,300	749,352	204,859,860
	5	1/10/2022	HPG	45.8	45.9	45.7	46.7	45.5	46.0	-150	-0.33	17,477,500	803,406	3,175,700	147,214	20,653,200	950,620	204,188,922
	6	1/11/2022	HPG	45.7	46.1	45.1	46.1	45.1	45.6	-550	-1.20	12,758,500	582,249	513,600	24,984	13,272,100	607,233	201,728,814
	7	1/12/2022	HPG	45.1	45.2	46.2	46.3	45.2	45.8	1,100	2.44	14,686,700	672,332	0	0	14,686,700	672,332	206,649,029
	8	1/13/2022	HPG	46.2	46.3	46.7	47.3	46.2	46.7	500	1.08	24,990,100	1,167,446	587,700	25,931	25,577,800	1,193,377	208,885,490
	9	1/14/2022	HPG	46.7	46.5	46.3	46.9	46.2	46.5	-450	-0.96	7,902,000	367,341	695,900	31,723	8,597,900	399,064	206,872,675
	10	1/17/2022	HPG	46.3	46.3	44.7	46.5	44.7	45.5	-1,550	-3.35	21,661,200	984,593	4,070,000	194,995	25,731,200	1,179,588	199,939,645
	11	1/18/2022	HPG	44.7	44.5	44.0	45.3	43.0	44.2	-700	-1.57	21,441,900	947,545	0	0	21,441,900	947,545	196,808,599
	12	1/19/2022	HPG	44.0	44.4	43.5	44.6	43.5	44.0	-500	-1.14	17,705,400	777,492	263,300	11,548	17,968,700	789,040	194,572,138
	13	1/20/2022	HPG	43.5	43.8	44.0	44.2	43.3	43.8	500	1.15	14,665,400	643,003	420,000	18,950	15,085,400	661,953	196,808,599
	14	1/21/2022	HPG	44.0	44.0	43.3	44.5	43.1	43.6	-700	-1.59	16,277,300	709,940	100,000	4,705	16,377,300	714,645	193,677,553
	15	1/24/2022	HPG	43.3	43.1	40.7	43.2	40.7	41.9	-2,600	-6.00	29,425,200	1,229,731	2,630,000	109,091	32,055,200	1,338,822	182,047,954
	16	1/25/2022	HPG	40.7	40.5	43.3	43.3	40.2	41.4	2,550	6.27	17,887,600	742,124	1,877,600	74,952	19,765,200	817,076	193,453,907
	17	1/26/2022	HPG	43.3	43.5	43.5	44.5	43.5	43.9	200	0.46	15,205,400	667,648	2,354,200	98,735	17,559,600	766,383	194,348,492
	18	1/27/2022	HPG	43.5	43.2	42.2	43.5	42.0	0.0	-1,300	-2.99	14,700,800	626,343	40,000	1,620	14,740,800	627,963	188,533,692
	19	1/28/2022	HPG	42.2	42.3	42.2	42.8	41.7	42.1	50	0.12	14,941,600	629,678	920,100	39,945	15,861,700	669,623	188,757,338
	20	2/7/2022	HPG	42.2	42.8	43.1	43.7	41.8	42.7	850	2.01	16,609,600	709,578	114,000	4,771	16,723,600	714,349	192,559,322
	21	2/8/2022	HPG	43.1	43.0	45.6	45.6	43.0	44.7	2,500	5.81	26,528,800	1,185,580	2,488,900	107,430	29,017,700	1,293,010	203,741,629
	22	2/9/2022	HPG	45.6	45.8	47.3	48.3	45.7	47.4	1,750	3.84	40,297,200	1,911,276	918,000	42,907	41,215,200	1,954,183	211,569,244
	23	2/10/2022	HPG	47.3	47.4	47.0	47.9	46.7	47.4	-300	-0.63	23,598,200	1,117,451	1,639,100	74,988	25,237,300	1,192,439	210,227,367
	24	2/11/2022	HPG	47.0	46.6	47.2	47.5	46.3	46.8	150	0.32	17,343,300	811,437	797,300	36,678	18,140,600	848,115	210,898,306
	25	2/14/2022	HPG	47.2	46.5	46.2	47.5	46.2	46.8	-950	-2.01	18,246,700	853,219	350,000	16,600	18,596,700	869,819	206,649,029
	26	2/15/2022	HPG	46.2	46.2	46.0	46.6	45.4	45.9	-200	-0.43	15,564,400	714,708	307,700	14,702	15,872,100	729,410	205,754,444
	27	2/16/2022	HPG	46.0	46.1	46.0	46.5	45.6	46.1	0	0.00	9,350,300	430,845	491,200	21,122	9,841,500	451,967	205,754,444
	28	2/17/2022	HPG	46.0	46.0	46.5	46.8	46.0	46.4	500	1.09	11,353,300	526,739	574,400	26,216	11,927,700	552,955	207,990,906
	29	2/18/2022	HPG	46.5	46.2	47.1	47.7	46.1	47.1	550	1.18	21,375,700	1,007,382	1,759,800	82,168	23,135,500	1,089,550	210,451,013
	30	2/21/2022	HPG	47.1	47.1	46.7	47.5	46.6	47.0	-400	-0.85	12,177,300	571,793	0	0	12,177,300	571,793	208,661,844
	31	2/22/2022	HPG	46.7	46.3	46.4	46.6	45.7	46.1	-250	-0.54	17,669,600	814,579	3,465,300	157,415	21,134,900	971,994	207,543,614
	32	2/23/2022	HPG	46.4	46.7	46.7	47.2	46.3	46.6	300	0.65	12,981,100	605,308	0	0	12,981,100	605,308	208,885,490
	33	2/24/2022	HPG	46.7	46.8	46.0	46.9	45.1	46.0	-700	-1.50	22,445,800	1,031,668	156,700	7,167	22,602,500	1,038,835	205,754,444
	34	2/25/2022	HPG	46.0	46.1	45.9	46.4	45.9	46.1	-100	-0.22	12,775,700	588,315	2,623,320	121,658	15,399,020	709,973	205,307,152
	35	2/28/2022	HPG	45.9	46.1	47.2	47.8	46.1	47.0	1,300	2.83	35,200,100	1,654,280	528,000	23,311	35,728,100	1,677,591	211,121,952
	36	3/1/2022	HPG	47.2	47.7	46.9	48.1	46.9	47.5	-300	-0.64	23,374,000	1,110,514	0	0	23,374,000	1,110,514	209,780,075
	37	3/2/2022	HPG	46.9	47.0	46.9	47.4	46.6	47.0	0	0.00	19,896,100	934,804	0	0	19,896,100	934,804	209,780,075
	38	3/3/2022	HPG	46.9	47.6	50.1	50.1	47.3	48.8	3,200	6.82	76,236,800	3,724,161	1,607,200	70,612	77,844,000	3,794,773	224,093,428
	39	3/4/2022	HPG	50.1	51.0	49.8	51.3	49.8	50.4	-300	-0.60	33,378,900	1,680,694	230,000	10,834	33,608,900	1,691,528	222,751,551
	40	3/7/2022	HPG	49.8	50.2	51.1	52.5	50.0	51.4	1,300	2.61	38,456,100	1,975,840	554,400	26,516	39,010,500	2,002,356	228,566,350
	41	3/8/2022	HPG	51.1	50.6	49.5	51.2	49.5	50.3	-1,650	-3.23	40,509,400	2,036,567	1,389,200	73,299	41,898,600	2,109,866	221,186,028
	42	3/9/2022	HPG	49.5	50.0	49.9	50.3	48.9	49.7	400	0.81	34,775,200	1,727,537	620,000	30,904	35,395,200	1,758,441	222,975,197
	43	3/10/2022	HPG	49.9	50.0	49.2	50.1	49.1	49.5	-700	-1.40	26,828,300	1,328,092	922,300	44,668	27,750,600	1,372,760	219,844,151
	44	3/11/2022	HPG	49.2	49.2	47.6	49.3	46.9	48.2	-1,550	-3.15	44,340,200	2,136,972	28,000	1,282	44,368,200	2,138,254	212,911,121
